Chapter,Start,End
Prol,79,81
A.1,81,82
A.2,82,83
A.3,83,87
A.4,87,89
A.5,89,90
A.6,90,91
A.7,91,95
A.8,95,98
A.9,98,99
A.10,99,101
A.11,101,103
A.12,104,117
A.13,117,126
A.14,126,137
A.15,137,144
A.16,144,145
A.17,145,148
A.18,148,150
A.19,150,153
A.20,153,158
A.21,158,168
A.22,168,172
A.23,172,178
A.24,178,182
A.25,182,190
A.26,190,199
A.27,199,216
B.1,216,220
B.2,220,233
B.3,233,234
B.4,234,238
C.1,238,242
C.2,242,245
C.3,245,247
C.4,247,253
C.5,253,259
C.6,259,274
C.7,274,280
C.8,280,287
C.9,287,288
C.10,288,292
C.11,292,302
C.12,302,305
C.13,305,306
C.14,306,311
C.15,311,314
C.16,314,325
C.17,325,334
C.18,334,336
D.1,337,344
D.2,344,347
D.3,347,351
D.4,351,355
D.5,355,357
D.6,357,367
D.7,367,368
D.8,368,370
D.9,370,377
D.10,377,381
D.11,381,390
D.12,390,400
E.1,400,403
E.2,403,408
E.3,408,422
E.4,422,423
E.5,423,424
E.6,424,440
E.7,440,447
E.8,447,457
E.9,457,460
F.1,460,476
F.2,476,480
F.3,480,492
F.4,492,508
F.5,508,515
F.6,515,516
F.7,516,518
F.8,518,523
G.1,524,534
G.2,534,547
G.3,547,557
G.4,557,564
G.5,564,570
H.1,570,578
H.2,578,582
H.3,582,583
H.4,583,589
H.5,589,593
H.6,593,600
I.1,601,604
I.2,604,608
I.3,608,613
I.4,613,617
I.5,617,619
I.6,619,628
I.7,629,632
I.8,632,636
I.9,636,647
I.10,647,655
I.11,655,663
I.12,663,674
I.13,674,687
L.1,688,693
L.2,693,694
L.3,694,700
L.4,700,704
L.5,705,713
L.6,713,715
L.7,715,730
M.1,741,742
M.2,742,747
M.3,747,759
M.4,759,762
M.5,762,764
M.6,764,770
M.7,770,773
M.8,773,784
M.9,784,798
M.10,798,800
M.11,800,849
M.12,849,853
M.13,853,863
M.14,863,868
N.1,868,876
N.2,876,877
N.3,877,883
N.4,884,887
O.1,887,894
O.2,895,896
O.3,896,899
O.4,899,904
O.5,904,916
O.6,916,946
O.7,946,953
O.8,953,955
P.1,955,961
P.2,961,977
P.3,977,989
P.4,989,1000
P.5,1000,1010
P.6,1010,1016
P.7,1016,1043
P.8,1043,1055
P.9,1055,1059
P.10,1059,1060
P.11,1060,1069
P.12,1069,1083
P.13,1083,1108
P.14,1108,1112
Q.1,1112,1114
R.1,1114,1129
R.2,1129,1136
R.3,1136,1138
R.4,1138,1143
R.5,1143,1172
R.6,1172,1179
R.7,1179,1185
S.1,1186,1190
S.2,1190,1193
S.3,1193,1200
S.4,1200,1208
S.5,1208,1210
S.6,1210,1212
S.7,1212,1214
S.8,1214,1223
S.9,1223,1226
S.10,1226,1230
S.11,1230,1237
S.12,1237,1240
S.13,1240,1247
S.14,1247,1255
T.1,1255,1265
T.2,1266,1268
T.3,1268,1271
T.4,1271,1277
T.5,1277,1301
V.1,1301,1305
V.2,1305,1308
V.3,1308,1312
V.4,1312,1317
V.5,1317,1322
V.6,1322,1324
V.7,1324,1329
V.8,1329,1347
V.9,1347,1355
V.10,1355,1360
V.11,1360,1365
V.12,1365,1374
X.1,1374,1384
